altitude_mean_meters,Moisture,Category.One.Defects,Category.Two.Defects,Quakers,Variety,Processing.Method,Color,Total.Cup.Points
2075.0,0.12,0,0,0.0,,Washed / Wet,Green,90.58
2075.0,0.12,0,1,0.0,Other,Washed / Wet,Green,89.92
1700.0,0.0,0,0,0.0,Bourbon,,,89.75
2000.0,0.11,0,2,0.0,,Natural / Dry,Green,89.0
2075.0,0.12,0,2,0.0,Other,Washed / Wet,Green,88.83
,0.11,0,1,0.0,,Natural / Dry,Bluish-Green,88.83
,0.11,0,0,0.0,Other,Washed / Wet,Bluish-Green,88.75
1635.0,0.03,0,0,0.0,,,,88.67
1635.0,0.03,0,0,0.0,,,,88.42
1822.5,0.1,0,4,0.0,Other,Natural / Dry,Green,88.25
1905.0,0.1,0,1,0.0,,Natural / Dry,,88.08
1872.0,0.0,0,0,0.0,Other,Washed / Wet,,87.92
1943.0,0.0,0,0,0.0,Other,Washed / Wet,,87.92
185.80608,0.0,0,2,0.0,,,,87.92
1635.0,0.05,0,2,0.0,,,,87.83
2080.0,0.0,0,0,0.0,Other,Washed / Wet,,87.58
1500.0,0.03,0,0,0.0,,,,87.42
,0.05,0,2,0.0,,,,87.33
1450.0,0.1,0,0,0.0,Catimor,Washed / Wet,Green,87.25
1850.0,0.0,0,8,0.0,Ethiopian Yirgacheffe,Natural / Dry,,87.25
2019.0,0.0,0,0,0.0,Other,Washed / Wet,,87.25
1300.0,0.11,0,2,0.0,Caturra,Washed / Wet,Green,87.17
1320.0,0.13,0,0,0.0,Other,Washed / Wet,Green,87.17
2112.0,0.0,0,0,0.0,Other,Washed / Wet,,87.08
,0.11,0,1,0.0,,Natural / Dry,Bluish-Green,87.08
1250.0,0.12,0,2,0.0,Bourbon,Natural / Dry,Green,86.92
,0.05,0,2,0.0,,,,86.92
1950.0,0.12,0,1,0.0,SL14,Washed / Wet,Green,86.83
1400.0,0.1,0,3,0.0,Caturra,,Green,86.67
1200.0,0.0,0,0,0.0,Sumatra,Pulped natural / honey,Green,86.58
,0.08,0,2,0.0,,,,86.58
,0.11,0,1,0.0,,Natural / Dry,Bluish-Green,86.5
1300.0,0.12,0,2,0.0,Bourbon,Natural / Dry,Green,86.42
1300.0,0.0,0,0,0.0,Caturra,Washed / Wet,Blue-Green,86.33
1775.0,0.1,0,3,0.0,,Natural / Dry,Green,86.25
1800.0,0.12,0,1,0.0,SL34,Washed / Wet,Blue-Green,86.25
,0.0,1,4,0.0,Hawaiian Kona,Natural / Dry,,86.25
,0.0,2,1,0.0,,,,86.25
,0.1,0,2,0.0,,,,86.25
1941.0,0.0,0,0,0.0,Other,Washed / Wet,,86.17
1300.0,0.1,1,9,0.0,Caturra,Washed / Wet,Green,86.17
12.0,0.08,0,2,0.0,Yellow Bourbon,,,86.17
12.0,0.01,0,3,0.0,Yellow Bourbon,,,86.17
1000.0,0.12,0,0,0.0,Bourbon,Semi-washed / Semi-pulped,Green,86.08
1754.0,0.11,0,2,0.0,SL28,Natural / Dry,Bluish-Green,86.08
1250.0,0.11,0,2,0.0,Bourbon,Semi-washed / Semi-pulped,Blue-Green,86.08
,0.0,0,0,0.0,,Semi-washed / Semi-pulped,,86.0
1200.0,0.12,1,1,0.0,Caturra,Washed / Wet,Green,86.0
1860.0,0.11,0,1,0.0,SL28,Washed / Wet,Green,86.0
1650.0,0.1,0,0,0.0,Other,Washed / Wet,Blue-Green,86.0
1750.0,0.01,0,4,0.0,,,,86.0
130.06425600000003,0.0,0,0,0.0,,,,86.0
,0.1,0,3,1.0,Bourbon,Washed / Wet,Green,85.92
1650.0,0.12,0,0,0.0,SL14,Natural / Dry,Green,85.92
1800.0,0.0,1,0,0.0,Caturra,Washed / Wet,Blue-Green,85.92
1600.0,0.08,0,0,1.0,Gesha,Washed / Wet,Bluish-Green,85.83
1900.0,0.1,0,4,0.0,,Washed / Wet,Green,85.83
464.51520000000005,0.12,0,3,0.0,Bourbon,Washed / Wet,Green,85.83
431.999136,0.1,0,1,0.0,Catuai,Washed / Wet,Bluish-Green,85.83
,0.09,0,7,4.0,Caturra,Natural / Dry,,85.75
,0.1,4,6,0.0,,Washed / Wet,Green,85.75
1700.0,0.12,0,1,0.0,,Washed / Wet,Bluish-Green,85.75
1500.0,0.1,0,3,0.0,Bourbon,Washed / Wet,Blue-Green,85.58
1350.0,0.11,0,0,0.0,Bourbon,Semi-washed / Semi-pulped,,85.58
,0.0,0,1,0.0,Hawaiian Kona,Natural / Dry,,85.58
1680.0,0.09,2,2,0.0,Caturra,Natural / Dry,,85.5
1900.0,0.1,0,3,0.0,SL28,Natural / Dry,Green,85.5
1900.0,0.12,0,7,0.0,Other,Natural / Dry,Green,85.5
1600.0,0.12,0,1,0.0,SL14,Washed / Wet,Green,85.5
527.6892672,0.11,0,1,0.0,Bourbon,Washed / Wet,Green,85.5
1900.0,0.1,0,18,0.0,,Washed / Wet,Green,85.42
1950.0,0.12,0,5,0.0,SL14,Washed / Wet,Green,85.42
,0.0,4,6,0.0,Hawaiian Kona,Natural / Dry,,85.42
1250.0,0.11,0,1,0.0,Bourbon,Semi-washed / Semi-pulped,Blue-Green,85.42
1400.0,0.01,0,0,0.0,,,,85.42
1700.0,0.1,0,0,0.0,Catimor,Natural / Dry,Green,85.33
1770.0,0.11,0,1,0.0,Pacamara,Natural / Dry,Green,85.33
1300.0,0.0,0,0,0.0,Caturra,Washed / Wet,Bluish-Green,85.33
1300.0,0.1,0,2,0.0,Caturra,Washed / Wet,Bluish-Green,85.33
1600.0,0.0,0,2,0.0,SL34,Washed / Wet,Green,85.33
1200.0,0.0,0,6,0.0,SL34,Washed / Wet,Green,85.33
,0.05,0,2,0.0,,,,85.33
,0.1,0,3,0.0,Typica,,,85.33
,0.1,0,2,2.0,Bourbon,,Green,85.25
1550.0,0.11,0,0,0.0,Caturra,Washed / Wet,Green,85.25
1550.0,0.12,0,2,0.0,Caturra,Natural / Dry,Green,85.25
1325.0,0.11,0,3,0.0,Sumatra Lintong,Semi-washed / Semi-pulped,Green,85.17
1400.0,0.0,0,7,0.0,Caturra,Washed / Wet,,85.17
,0.11,0,8,1.0,Other,Natural / Dry,Green,85.08
2560.0,0.0,0,0,0.0,Caturra,Natural / Dry,,85.08
1700.0,0.1,2,7,0.0,,Natural / Dry,Green,85.08
,0.11,2,2,0.0,Hawaiian Kona,Natural / Dry,Bluish-Green,85.08
2136.0,0.11,0,8,0.0,Caturra,Natural / Dry,Green,85.08
,0.01,1,7,0.0,,,,85.08
,0.0,0,5,0.0,,,,85.08
,0.0,0,0,0.0,,,,85.08
